task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO128840-10,[244],9086.0,9115.94,"[[[9086.0,9115.94]]]",2024-09-03 07:26:00,2024-09-03 07:55:56.4
WO128842-10,[62],28153.0,28377.0,"[[[28153.0,28377.0]]]",2024-09-16 13:13:00,2024-09-16 16:57:00
WO128843-10,[103],32070.0,32570.0,"[[[32070.0,32570.0]]]",2024-09-19 06:30:00,2024-09-19 14:50:00
WO128844-10,[101],29190.0,29220.0,"[[[29190.0,29220.0]]]",2024-09-17 06:30:00,2024-09-17 07:00:00
WO128845-10,[270],12361.0,12391.0,"[[[12361.0,12391.0]]]",2024-09-05 14:01:00,2024-09-05 14:31:00
WO128846-10,[270],39760.0,39790.0,"[[[39760.0,39790.0]]]",2024-09-24 14:40:00,2024-09-24 15:10:00
WO128847-10,[173],17875.0,17905.0,"[[[17875.0,17905.0]]]",2024-09-09 09:55:00,2024-09-09 10:25:00
WO128848-10,[159],39572.0,39767.0,"[[[39572.0,39767.0]]]",2024-09-24 11:32:00,2024-09-24 14:47:00
WO128849-10,[101],58155.0,58185.0,"[[[58155.0,58185.0]]]",2024-10-07 09:15:00,2024-10-07 09:45:00
WO128855-10,[159],53670.0,58175.0,"[[[53670.0,53985.0],[57990.0,58175.0]]]",2024-10-04 06:30:00,2024-10-07 09:35:00
WO128856-10,[62],42476.0,42742.0,"[[[42476.0,42742.0]]]",2024-09-26 11:56:00,2024-09-26 16:22:00
WO128857-10,[150],59430.0,79994.0,"[[[59430.0,59955.0],[60870.0,61395.0],[62310.0,62835.0],[63750.0,64065.0],[68070.0,68385.0],[69510.0,69825.0],[70950.0,71265.0],[72390.0,72705.0],[73830.0,74019.0],[78150.0,78675.0],[79590.0,79994.0]]]",2024-10-08 06:30:00,2024-10-22 13:14:00
WO128858-10,[19],12289.0,12319.0,"[[[12289.0,12319.0]]]",2024-09-05 12:49:00,2024-09-05 13:19:00
WO128860-10,[150],12256.0,12434.0,"[[[12256.0,12434.0]]]",2024-09-05 12:16:00,2024-09-05 15:14:00
WO128861-10,[103],28035.0,28256.0,"[[[28035.0,28256.0]]]",2024-09-16 11:15:00,2024-09-16 14:56:00
WO128862-10,[196],39521.0,39699.0,"[[[39521.0,39699.0]]]",2024-09-24 10:41:00,2024-09-24 13:39:00
WO128863-10,[150],39539.0,39760.0,"[[[39539.0,39760.0]]]",2024-09-24 10:59:00,2024-09-24 14:40:00
WO128886-10,[62],39270.0,39846.0,"[[[39270.0,39846.0]]]",2024-09-24 06:30:00,2024-09-24 16:06:00
WO128886-20,[93],40710.0,40740.0,"[[[40710.0,40740.0]]]",2024-09-25 06:30:00,2024-09-25 07:00:00
WO128887-20,[70],12244.0,12429.0,"[[[12244.0,12429.0]]]",2024-09-05 12:04:00,2024-09-05 15:09:00
WO128887-30,[79],13529.0,13658.0,"[[[13529.0,13658.0]]]",2024-09-06 09:29:00,2024-09-06 11:38:00
WO128888-10,[38],52230.0,53721.0,"[[[52230.0,52755.0],[53670.0,53721.0]]]",2024-10-03 06:30:00,2024-10-04 07:21:00
WO128888-20,[93],58125.0,58155.0,"[[[58125.0,58155.0]]]",2024-10-07 08:45:00,2024-10-07 09:15:00
WO128894-10,[106],38300.0,38330.0,"[[[38300.0,38330.0]]]",2024-09-23 14:20:00,2024-09-23 14:50:00
WO128898-10,[106],29675.0,29705.0,"[[[29675.0,29705.0]]]",2024-09-17 14:35:00,2024-09-17 15:05:00
WO128900-10,[106],32555.0,32585.0,"[[[32555.0,32585.0]]]",2024-09-19 14:35:00,2024-09-19 15:05:00
WO128902-10,[106],32525.0,32555.0,"[[[32525.0,32555.0]]]",2024-09-19 14:05:00,2024-09-19 14:35:00
WO128909-10,[106],58035.0,58065.0,"[[[58035.0,58065.0]]]",2024-10-07 07:15:00,2024-10-07 07:45:00
WO128911-10,[106],58005.0,58035.0,"[[[58005.0,58035.0]]]",2024-10-07 06:45:00,2024-10-07 07:15:00
WO128913-10,[106],53970.0,58005.0,"[[[53970.0,53985.0],[57990.0,58005.0]]]",2024-10-04 11:30:00,2024-10-07 06:45:00
WO128936-10,[101],792.85,822.85,"[[[792.85,822.85]]]",2024-08-28 13:12:51,2024-08-28 13:42:51
WO128938-10,[101],12173.0,12203.0,"[[[12173.0,12203.0]]]",2024-09-05 10:53:00,2024-09-05 11:23:00
WO129170-10,[36],27750.0,82786.0,"[[[27750.0,28275.0],[29190.0,29715.0],[30630.0,31155.0],[32070.0,32595.0],[33510.0,33825.0],[37830.0,38355.0],[39270.0,39795.0],[40710.0,41235.0],[42150.0,42675.0],[43590.0,43905.0],[47910.0,48435.0],[49350.0,49875.0],[50790.0,51315.0],[52230.0,52755.0],[53670.0,53985.0],[57990.0,58515.0],[59430.0,59955.0],[60870.0,61395.0],[62310.0,62835.0],[63750.0,64065.0],[68070.0,68385.0],[69510.0,69825.0],[70950.0,71265.0],[72390.0,72705.0],[73830.0,74019.0],[78150.0,78675.0],[79590.0,80115.0],[81030.0,81555.0],[82470.0,82786.0]]]",2024-09-16 06:30:00,2024-10-24 11:46:00
